0,1
351.3536376953125,128.78176879882812
298.1031799316406,156.44198608398438
414.2087707519531,151.40403747558594
178.5289306640625,361.8793640136719
299.0718994140625,355.9086608886719
408.4663391113281,358.72796630859375
392.0344543457031,271.41375732421875
279.3534851074219,266.1330261230469
150.64501953125,258.4842529296875
170.59930419921875,144.8184814453125
225.51092529296875,129.0948944091797
269.27764892578125,129.64132690429688
365.1622619628906,125.82916259765625
304.71612548828125,225.95089721679688
374.7359619140625,319.0224609375
374.84832763671875,318.8427734375
